UrbanAgg,Country,Region,OID,Pop1970,Pop1980,Pop1990,Pop2000,Pop2010,PopR7080,PopR8090,PopR9000,PopR0010,Area1970,Area1980,Area1990,Area2000,Area2010,ArR7080,ArR8090,ArR9000,ArR0010,PD1970,PD1980,PD1990,PD2000,PD2010,Authors,Journal,Year
Abu Zaby (Abu Dhabi),United Arab Emirates,SW Asia,589,62,229,331,505,879,13.95788472,3.75266268,4.314898167,5.698725261,3607.810139,3864.218662,4138.850242,4433,4745.832644,0.688947657,0.688947657,0.688947658,0.684233646,17.18493979,59.26165676,79.97390112,113.9183397,185.2151279,"Lazzarini, M, Molini, A, Marpu, PR, Ouarda, TBMJ, & H Ghedira",Geophysical Research Letters,2015
Abuja,Nigeria,Africa,0,48,125,330,833,1814,10.04412906,10.19462028,9.701636459,8.093412608,12.49498914,22.32212594,39.37365134,68.13676774,108.9585392,5.974156161,5.839313372,5.637370824,4.806441219,3841.539954,5599.82505,8381.239453,12225.41115,16648.53451,"Mahmoud, MI, Duker, A, Conrad, C, Thiel, M, & HS Ahmad",Remote Sensing,2016
Abuja,Nigeria,Africa,1,48,125,330,833,1814,10.04412906,10.19462028,9.701636459,8.093412608,32.4461623,46.55869446,66.557675,94.312349,478.028661,3.677316026,3.638169785,3.5468858,17.62199397,1479.373726,2684.783185,4958.105883,8832.353439,3794.751545,"Zubair, OA, Ojigi, LM, & RA Mbih",Journal of Sustainable Development,2015
Accra,Ghana,Africa,2,631,863,1197,1668,2060,3.180622489,3.325695074,3.373730602,2.133241891,48.449345,95.153475,182.932499,344.26, ,6.982729566,6.754605842,6.526968866, ,13023.91188,9069.558416,6543.39719,4845.175158, ,"Angel, S, Sheppard, SC, & DL Civco",World Bank Report,2005
Adana,Turkey,SW Asia,590,402,568,907,1123,1558,3.517131319,4.791460955,2.159144386,3.328177578,23.180884,37.398793,59.551789,94.0023, ,4.899340847,4.76198595,4.67051638, ,17341.87531,15187.65592,15230.44085,11946.5162, ,"Alphan, H",Land Degradation & Development,2003
Addis Ababa,Ethiopia,Africa,3,729,1175,1791,2377,3126,4.88926299,4.305154793,2.871094273,2.777010049,53.297758,69.899778,91.411096,119.03, ,2.748782758,2.719361687,2.675245929, ,13677.87365,16809.78157,19592.80742,19969.75552, ,"Angel, S, Sheppard, SC, & DL Civco",World Bank Report,2005
Agra,India,India,372,624,739,933,1293,1714,1.705861973,2.358454651,3.316976442,2.858746934,29.589089,56.313817,107.176196,198.494891,361.941988,6.646924841,6.646924898,6.356760176,6.191306345,21088.85475,13122.88954,8705.291238,6514.021562,4735.565524,"Gibson, J, Boe-Gibson, G, & G Stichbury",Food Policy,2015
Ahmedabad,India,India,373,1695,2484,3255,4427,6210,3.895847221,2.7400896,3.123074586,3.442309401,69.173202,124.239945,223.143697,391.793269,679.047507,6.030872984,6.030873049,5.790637603,5.653604679,24503.70882,19993.5697,14587.01296,11299.32633,9145.162799,"Gibson, J, Boe-Gibson, G, & G Stichbury",Food Policy,2015
Ahmedabad,India,India,374,1695,2484,3255,4427,6210,3.895847221,2.7400896,3.123074586,3.442309401,126.540439,151.507213,181.4,216.5, ,1.817023606,1.817023625,1.784597079, ,13394.92745,16395.25902,17943.77067,20448.03695, ,"Schneider, A & CE Woodcock",Urban Studies,2008
Ahvaz,Iran (Islamic Republic of),SC Asia,545,246,410,685,868,1077,5.240977915,5.266618317,2.395982008,2.180870407,77.843609,110.628028,157.032323,220.52, ,3.577212943,3.564851894,3.45366787, ,3160.18236,3706.113246,4362.159248,3936.150916, ,"Angel, S, Sheppard, SC, & DL Civco",World Bank Report,2005
